epoch,train_loss,val_loss,val_r2,val_pearson,val_mae_avg,grad_norm,lr,epoch_time,total_time,MAE_Phys_P0,MAE_Phys_P1,MAE_Phys_P2
1,0.5087537674096446,0.20331945298593254,0.7973011136054993,0.8921902775764465,0.2052933,3.4505473845682966,0.00020210525259625484,165.73,165.73,0.305879,0.24723923,0.06276167
2,0.244782591018433,0.13195167010343528,0.8685314655303955,0.9317543506622314,0.17711312,2.606565854229485,0.0002084173169779437,22.7,188.44,0.25174367,0.23078941,0.048806258
3,0.18430447806946385,0.11603529242020619,0.884476363658905,0.9430348873138428,0.15206653,1.955374859963743,0.0002189251194034585,22.7,211.13,0.22925283,0.17907777,0.047868956
4,0.1577010474646815,0.09554622746721099,0.9049384593963623,0.9537661671638489,0.14914069,1.5289217222232026,0.0002336102252241852,23.33,234.46,0.23275043,0.17354022,0.04113142
5,0.13812470359924123,0.09155962135218366,0.908984899520874,0.9570103287696838,0.13823317,1.2884696055525027,0.00025244687122582925,22.7,257.16,0.23157921,0.14302869,0.04009159
6,0.12740032208232452,0.09238862991333008,0.9080117344856262,0.9577064514160156,0.15159597,1.2231348109321472,0.00027540201082680484,22.72,279.88,0.26932344,0.14730407,0.03816037
7,0.11993637328711562,0.07222194309476056,0.9281511902809143,0.9652716517448425,0.13116594,1.2017234933262053,0.00030243537205441266,22.64,302.52,0.20092094,0.1574394,0.035137434
8,0.11020422743532224,0.07067105136340178,0.929774284362793,0.9677993655204773,0.11333456,1.0311271291190443,0.00033349952819706,22.7,325.23,0.18418704,0.12078643,0.035030197
9,0.10260292516348841,0.0728809139396571,0.9275109171867371,0.969545841217041,0.13873036,0.9619538289860795,0.0003685399810086044,22.73,347.96,0.24440114,0.13989086,0.03189906
10,0.09636567575862995,0.05257443536685992,0.9476996064186096,0.9744141697883606,0.11339196,0.8982678048146038,0.0004074952563188341,22.74,370.71,0.16223525,0.14908764,0.028852988
11,0.09011469709987457,0.0553200757956203,0.9449928402900696,0.9745027422904968,0.11766034,0.8178685806429805,0.0004502970118823446,22.68,393.38,0.15759145,0.1652923,0.030097313
12,0.08585860401677628,0.0479825297488442,0.9523161053657532,0.9778122901916504,0.10247415,0.7564679342336929,0.0004968701572766162,22.62,416.0,0.15789686,0.121823266,0.027702346
13,0.07848230185219274,0.04360014879250828,0.9567081332206726,0.9787214398384094,0.09047526,0.655440629147493,0.0005471329856389347,22.73,438.73,0.14046894,0.10391982,0.027037024
14,0.07656533725726337,0.06145756757712063,0.938866913318634,0.9759928584098816,0.11564916,0.6576337835278374,0.0006009973170110457,22.72,461.45,0.17949215,0.13362695,0.03382839
15,0.0718833691776751,0.0391319401656525,0.9611629843711853,0.9807815551757812,0.09033647,0.5848839863801536,0.0006583686530400607,22.63,484.07,0.14088985,0.105554864,0.024564702
16,0.06991382147938299,0.03696466397635544,0.963293731212616,0.9825027585029602,0.0875551,0.5775208144237439,0.0007191463427642063,22.69,506.76,0.13434726,0.10466846,0.023649583
17,0.06630630615039375,0.03431978708581079,0.9659073948860168,0.9831094741821289,0.08740472,0.5319259091973686,0.0007832237591925799,22.72,529.48,0.12599987,0.113585256,0.022629019
18,0.06223782182882388,0.037387540068807484,0.9628474116325378,0.9826515316963196,0.10238425,0.4751545637369918,0.0008504884863690994,22.64,552.12,0.15062165,0.13414395,0.022387138
19,0.06053614387877833,0.035907745361328125,0.9642855525016785,0.984166145324707,0.08633391,0.4691260911214847,0.0009208225165924944,22.64,574.77,0.13071886,0.10462862,0.023654241
20,0.05617020457697372,0.03334915185276466,0.9669402241706848,0.9839520454406738,0.08648593,0.41280835076642874,0.0009941024574463206,22.6,597.37,0.120713346,0.11764763,0.021096816
21,0.053807450559573436,0.02674123305308668,0.9734461903572083,0.9869840145111084,0.07660436,0.3843601839706159,0.001070199748275799,22.71,620.08,0.11052698,0.100260444,0.019025646
22,0.049655704071727425,0.025878130635128744,0.9742932319641113,0.9883980751037598,0.07191763,0.338210484994867,0.0011489808857316876,22.69,642.77,0.09547568,0.10067106,0.019606164
23,0.04552157466023113,0.027827676338485523,0.9723551869392395,0.9874684810638428,0.06905273,0.2918262099876952,0.0012303076579855189,22.74,665.51,0.096798405,0.089404285,0.0209555
24,0.04341554794067773,0.022891438460048243,0.9772915244102478,0.9891101717948914,0.07052875,0.2781545281315002,0.0013140373872052645,22.7,688.21,0.09597355,0.09772834,0.017884377
25,0.04207670193510695,0.024061794522442396,0.9761295318603516,0.9892864227294922,0.07128167,0.26794380292344017,0.0014000231798660715,22.71,710.92,0.11052145,0.08536205,0.017961524
26,0.04067888351294179,0.021432268468639517,0.9787235260009766,0.9897594451904297,0.0689132,0.26013447806096307,0.0014881141844569064,22.63,733.55,0.08865699,0.10159057,0.01649204
27,0.03905983702443278,0.022707919531230684,0.9774815440177917,0.9905508160591125,0.08278525,0.25561729066383343,0.0015781558561310007,22.68,756.23,0.123030305,0.109585635,0.015739795
28,0.037438282951379354,0.023232843302473237,0.9769769310951233,0.9900481700897217,0.084775545,0.2351535233303,0.0016699902278358033,22.67,778.9,0.10256401,0.1352184,0.01654424
29,0.037431954575803714,0.024120140679274933,0.9760775566101074,0.988924503326416,0.07679527,0.24372757033418163,0.0017634561874467648,22.65,801.55,0.08967547,0.12303984,0.01767051
30,0.03550093471051786,0.017592873754380626,0.982569694519043,0.9915716052055359,0.05837879,0.2232291434710018,0.001858389760418776,22.7,824.25,0.08565585,0.0749466,0.014533921
31,0.03492361440445287,0.024873830095122132,0.9753141403198242,0.9901464581489563,0.06538396,0.21599629309516363,0.0019546243974593604,22.65,846.9,0.0797189,0.096311666,0.020121321
32,0.033694300788660016,0.01962585388859616,0.9805353283882141,0.9911959767341614,0.05965443,0.20746745421482732,0.0020519912667189516,22.67,869.57,0.08111587,0.081681974,0.016165454
33,0.03197672725104676,0.0181335678583459,0.9820193648338318,0.9917464256286621,0.056651603,0.17749161939746655,0.002150319549985636,22.6,892.17,0.07715377,0.0767558,0.016045243
34,0.03186979689918006,0.018599980994115903,0.9815413355827332,0.9913350939750671,0.064239405,0.18588190718580738,0.002249436742364718,22.61,914.78,0.07995316,0.098373525,0.014391528
35,0.03154096511987071,0.016759661179554613,0.9833939671516418,0.9921314716339111,0.058861677,0.1779979667819727,0.0023491689549173735,22.62,937.4,0.07845006,0.08403491,0.0141000645
36,0.03056192855103709,0.01663843891288661,0.9835084080696106,0.9922587871551514,0.061412524,0.1632203683257103,0.0024493412197274314,22.69,960.1,0.081028424,0.08944466,0.013764483
37,0.029791134234053638,0.017668893065633653,0.9824811816215515,0.9918606281280518,0.072898425,0.1619843633268207,0.0025497777968610863,22.66,982.76,0.09344373,0.111708835,0.0135427145
38,0.02942502993745164,0.01656654967537409,0.9835713505744934,0.9920473098754883,0.055657968,0.15130820796607783,0.0026503024826810325,22.63,1005.39,0.072066806,0.081608824,0.013298273
39,0.028177556900170663,0.014531051056294502,0.9856102466583252,0.9930508732795715,0.05385899,0.13972148204002136,0.002750738918974092,22.64,1028.03,0.06793399,0.08084913,0.01279385
40,0.02825780265247479,0.01747865314725079,0.9826993942260742,0.9920445084571838,0.0661409,0.13975816762771087,0.0028509109023500457,22.71,1050.74,0.09029793,0.095122606,0.013002156
41,0.02779991405840499,0.021997101699249653,0.9781796932220459,0.9909030795097351,0.05903675,0.13462647229147415,0.0029506426933688327,22.66,1073.4,0.08132564,0.07887576,0.016908854
42,0.026734461799597205,0.015569775919371013,0.9845737814903259,0.9925805926322937,0.054677486,0.12207460645050668,0.003049759324853808,22.57,1095.98,0.070973314,0.08033427,0.012724881
43,0.026769808686960238,0.018787957444975648,0.9813424944877625,0.9922416806221008,0.07082157,0.12414556318007339,0.0031480869088501683,22.56,1118.54,0.078030154,0.11904206,0.015392491
44,0.025877919059972793,0.015410886535161658,0.9847094416618347,0.9929044842720032,0.056044057,0.11714985469183602,0.0032454529416900027,22.66,1141.2,0.06512511,0.08955812,0.013448939
45,0.025353334201410557,0.015815740899194644,0.9843299388885498,0.9928553700447083,0.06127357,0.11200180378394387,0.003341686606628793,22.65,1163.85,0.076519296,0.09398092,0.013320485
46,0.02519839107038114,0.01614189902438393,0.9840119481086731,0.9923968315124512,0.050662354,0.1086715253563925,0.0034366190735224053,22.67,1186.52,0.06619032,0.071920544,0.013876206
47,0.02454666893322247,0.01646701142757754,0.983676016330719,0.9924507141113281,0.059356097,0.10126102161102782,0.0035300837950188423,22.65,1209.16,0.082883544,0.08207645,0.013108299
48,0.024510836068052835,0.01741533641573749,0.982771098613739,0.9922270774841309,0.05456099,0.10271372398534141,0.0036219167987451145,22.61,1231.77,0.07736894,0.07309163,0.013222396
49,0.023818110505612895,0.0138569029071663,0.9862715601921082,0.9931485056877136,0.049315035,0.09711707497652346,0.003711956974976624,22.63,1254.4,0.06659286,0.06969949,0.011652774
50,0.023781825178347458,0.01516436474232734,0.9849787354469299,0.9933421015739441,0.050593983,0.09380623123373467,0.0038000463592843883,22.63,1277.03,0.061924376,0.0766668,0.0131907705
51,0.022919996097065007,0.014839022974424724,0.9853200912475586,0.9930450320243835,0.049977366,0.08897552676141833,0.0038860304096642265,22.89,1299.92,0.071698725,0.06615228,0.012081104
52,0.023127240494798168,0.015481585188757014,0.9846263527870178,0.9933626055717468,0.06616639,0.09122765282044015,0.0039697582776617255,22.6,1322.52,0.0835383,0.10301332,0.011947544
53,0.02232824118373493,0.014429668836955782,0.985682487487793,0.9932242035865784,0.043760672,0.08371272534370042,0.004051083073017315,22.55,1345.06,0.057417896,0.06181456,0.0120495595
54,0.02226724106663713,0.015040710002561158,0.9850480556488037,0.9931409955024719,0.05068335,0.08457235752726897,0.004129862121367194,22.66,1367.72,0.06461775,0.07476071,0.012671589
